ts_utc,zone,series,value,source
2023-01-09T15:00:00,DE-LU,price.day_ahead,161.96,energy_charts
2023-01-09T16:00:00,DE-LU,price.day_ahead,176.07,energy_charts
2023-01-09T17:00:00,DE-LU,price.day_ahead,182.18,energy_charts
2023-01-09T18:00:00,DE-LU,price.day_ahead,170.79,energy_charts
2023-01-09T19:00:00,DE-LU,price.day_ahead,160.51,energy_charts
2023-01-09T20:00:00,DE-LU,price.day_ahead,138.93,energy_charts
2023-01-09T21:00:00,DE-LU,price.day_ahead,132.0,energy_charts
2023-01-09T22:00:00,DE-LU,price.day_ahead,108.31,energy_charts
2023-01-09T23:00:00,DE-LU,price.day_ahead,106.02,energy_charts
2023-01-10T00:00:00,DE-LU,price.day_ahead,96.71,energy_charts
2023-01-10T01:00:00,DE-LU,price.day_ahead,95.14,energy_charts
2023-01-10T02:00:00,DE-LU,price.day_ahead,90.36,energy_charts
2023-01-10T03:00:00,DE-LU,price.day_ahead,95.61,energy_charts
2023-01-10T04:00:00,DE-LU,price.day_ahead,108.6,energy_charts
2023-01-10T05:00:00,DE-LU,price.day_ahead,138.13,energy_charts
2023-01-10T06:00:00,DE-LU,price.day_ahead,154.73,energy_charts
2023-01-10T07:00:00,DE-LU,price.day_ahead,165.33,energy_charts
2023-01-10T08:00:00,DE-LU,price.day_ahead,160.42,energy_charts
2023-01-10T09:00:00,DE-LU,price.day_ahead,154.73,energy_charts
2023-01-10T10:00:00,DE-LU,price.day_ahead,146.45,energy_charts
2023-01-10T11:00:00,DE-LU,price.day_ahead,141.22,energy_charts
2023-01-10T12:00:00,DE-LU,price.day_ahead,141.68,energy_charts
2023-01-10T13:00:00,DE-LU,price.day_ahead,145.41,energy_charts
2023-01-10T14:00:00,DE-LU,price.day_ahead,145.92,energy_charts
2023-01-10T15:00:00,DE-LU,price.day_ahead,140.5,energy_charts
2023-01-10T16:00:00,DE-LU,price.day_ahead,146.34,energy_charts
2023-01-10T17:00:00,DE-LU,price.day_ahead,140.45,energy_charts
2023-01-10T18:00:00,DE-LU,price.day_ahead,124.44,energy_charts
2023-01-10T19:00:00,DE-LU,price.day_ahead,106.15,energy_charts
2023-01-10T20:00:00,DE-LU,price.day_ahead,86.53,energy_charts
2023-01-10T21:00:00,DE-LU,price.day_ahead,81.3,energy_charts
2023-01-10T22:00:00,DE-LU,price.day_ahead,42.96,energy_charts
2023-01-10T23:00:00,DE-LU,price.day_ahead,5.0,energy_charts
2023-01-11T00:00:00,DE-LU,price.day_ahead,0.16,energy_charts
2023-01-11T01:00:00,DE-LU,price.day_ahead,0.08,energy_charts
2023-01-11T02:00:00,DE-LU,price.day_ahead,0.01,energy_charts
2023-01-11T03:00:00,DE-LU,price.day_ahead,0.04,energy_charts
2023-01-11T04:00:00,DE-LU,price.day_ahead,2.75,energy_charts
2023-01-11T05:00:00,DE-LU,price.day_ahead,57.88,energy_charts
2023-01-11T06:00:00,DE-LU,price.day_ahead,91.11,energy_charts
2023-01-11T07:00:00,DE-LU,price.day_ahead,127.44,energy_charts
2023-01-11T08:00:00,DE-LU,price.day_ahead,129.74,energy_charts
2023-01-11T09:00:00,DE-LU,price.day_ahead,131.71,energy_charts
2023-01-11T10:00:00,DE-LU,price.day_ahead,130.02,energy_charts
2023-01-11T11:00:00,DE-LU,price.day_ahead,117.47,energy_charts
2023-01-11T12:00:00,DE-LU,price.day_ahead,110.54,energy_charts
2023-01-11T13:00:00,DE-LU,price.day_ahead,115.74,energy_charts
2023-01-11T14:00:00,DE-LU,price.day_ahead,117.7,energy_charts
2023-01-11T15:00:00,DE-LU,price.day_ahead,119.2,energy_charts
2023-01-11T16:00:00,DE-LU,price.day_ahead,132.39,energy_charts
2023-01-11T17:00:00,DE-LU,price.day_ahead,132.88,energy_charts
2023-01-11T18:00:00,DE-LU,price.day_ahead,127.8,energy_charts
2023-01-11T19:00:00,DE-LU,price.day_ahead,114.56,energy_charts
2023-01-11T20:00:00,DE-LU,price.day_ahead,93.47,energy_charts
2023-01-11T21:00:00,DE-LU,price.day_ahead,91.71,energy_charts
2023-01-11T22:00:00,DE-LU,price.day_ahead,68.54,energy_charts
2023-01-11T23:00:00,DE-LU,price.day_ahead,19.88,energy_charts
2023-01-12T00:00:00,DE-LU,price.day_ahead,5.55,energy_charts
2023-01-12T01:00:00,DE-LU,price.day_ahead,4.69,energy_charts
2023-01-12T02:00:00,DE-LU,price.day_ahead,0.1,energy_charts
2023-01-12T03:00:00,DE-LU,price.day_ahead,2.03,energy_charts
2023-01-12T04:00:00,DE-LU,price.day_ahead,24.94,energy_charts
2023-01-12T05:00:00,DE-LU,price.day_ahead,85.72,energy_charts
2023-01-12T06:00:00,DE-LU,price.day_ahead,111.55,energy_charts
2023-01-12T07:00:00,DE-LU,price.day_ahead,106.83,energy_charts
2023-01-12T08:00:00,DE-LU,price.day_ahead,97.83,energy_charts
2023-01-12T09:00:00,DE-LU,price.day_ahead,84.74,energy_charts
2023-01-12T10:00:00,DE-LU,price.day_ahead,87.38,energy_charts
2023-01-12T11:00:00,DE-LU,price.day_ahead,75.88,energy_charts
2023-01-12T12:00:00,DE-LU,price.day_ahead,81.84,energy_charts
2023-01-12T13:00:00,DE-LU,price.day_ahead,88.2,energy_charts
2023-01-12T14:00:00,DE-LU,price.day_ahead,95.18,energy_charts
2023-01-12T15:00:00,DE-LU,price.day_ahead,99.08,energy_charts
2023-01-12T16:00:00,DE-LU,price.day_ahead,112.01,energy_charts
2023-01-12T17:00:00,DE-LU,price.day_ahead,119.49,energy_charts
2023-01-12T18:00:00,DE-LU,price.day_ahead,100.79,energy_charts
2023-01-12T19:00:00,DE-LU,price.day_ahead,99.35,energy_charts
2023-01-12T20:00:00,DE-LU,price.day_ahead,84.77,energy_charts
2023-01-12T21:00:00,DE-LU,price.day_ahead,70.43,energy_charts
2023-01-12T22:00:00,DE-LU,price.day_ahead,39.57,energy_charts
2023-01-12T23:00:00,DE-LU,price.day_ahead,32.64,energy_charts
2023-01-13T00:00:00,DE-LU,price.day_ahead,16.99,energy_charts
2023-01-13T01:00:00,DE-LU,price.day_ahead,9.0,energy_charts
2023-01-13T02:00:00,DE-LU,price.day_ahead,2.02,energy_charts
2023-01-13T03:00:00,DE-LU,price.day_ahead,2.61,energy_charts
2023-01-13T04:00:00,DE-LU,price.day_ahead,25.26,energy_charts
2023-01-13T05:00:00,DE-LU,price.day_ahead,54.74,energy_charts
2023-01-13T06:00:00,DE-LU,price.day_ahead,87.88,energy_charts
